[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\34.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\34.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\35.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\35.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\35.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\35.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\35.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\36.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\36.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\36.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\36.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\36.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\37.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\37.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\37.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\37.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\38.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\38.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\38.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\38.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\39.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\39.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\39.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\39.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\40.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\40.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\40.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\40.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\41.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\41.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\41.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\41.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\42.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\42.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\42.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\42.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\43.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\43.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\43.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\44.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\44.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\45.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\45.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\46.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\46.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\47.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\47.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\48.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\48.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\49.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\49.png
